
> wordle-scratch-pad@0.0.0 noodle
> node index.js

prev: 0, now 1, 0
prev: 1, now 2, 1
prev: 2, now 3, 2
prev: 3, now 4, 3
prev: 4, now 4, 4
prev: 4, now 5, 5
prev: 5, now 6, 6
prev: 6, now 7, 7
prev: 7, now 8, 8
prev: 8, now 9, 9
prev: 9, now 10, 10
prev: 10, now 10, 11
prev: 10, now 10, 12
prev: 10, now 10, 13
prev: 10, now 11, 14
prev: 11, now 11, 15
prev: 11, now 12, 16
prev: 12, now 12, 17
prev: 12, now 13, 18
prev: 13, now 13, 19
prev: 13, now 14, 20
prev: 14, now 15, 21
prev: 15, now 15, 22
prev: 15, now 16, 23
prev: 16, now 17, 24
prev: 17, now 18, 25
prev: 18, now 18, 26
prev: 18, now 19, 27
prev: 19, now 20, 28
prev: 20, now 21, 29
prev: 21, now 22, 30
prev: 22, now 23, 31
prev: 23, now 23, 32
prev: 23, now 23, 33
prev: 23, now 23, 34
prev: 23, now 24, 35
prev: 24, now 24, 36
prev: 24, now 25, 37
prev: 25, now 26, 38
prev: 26, now 27, 39
prev: 27, now 28, 40
prev: 28, now 28, 41
prev: 28, now 29, 42
prev: 29, now 30, 43
prev: 30, now 30, 44
prev: 30, now 30, 45
prev: 30, now 31, 46
prev: 31, now 32, 47
prev: 32, now 32, 48
prev: 32, now 33, 49
prev: 33, now 34, 50
prev: 34, now 34, 51
prev: 34, now 34, 52
prev: 34, now 34, 53
prev: 34, now 35, 54
prev: 35, now 35, 55
prev: 35, now 35, 56
prev: 35, now 36, 57
prev: 36, now 36, 58
prev: 36, now 37, 59
prev: 37, now 38, 60
prev: 38, now 38, 61
prev: 38, now 39, 62
prev: 39, now 39, 63
prev: 39, now 40, 64
prev: 40, now 41, 65
prev: 41, now 41, 66
prev: 41, now 41, 67
prev: 41, now 41, 68
prev: 41, now 41, 69
prev: 41, now 42, 70
prev: 42, now 43, 71
prev: 43, now 43, 72
prev: 43, now 43, 73
prev: 43, now 43, 74
prev: 43, now 43, 75
prev: 43, now 43, 76
prev: 43, now 44, 77
prev: 44, now 44, 78
prev: 44, now 44, 79
prev: 44, now 45, 80
prev: 45, now 45, 81
prev: 45, now 45, 82
prev: 45, now 46, 83
prev: 46, now 46, 84
prev: 46, now 46, 85
prev: 46, now 46, 86
prev: 46, now 46, 87
prev: 46, now 46, 88
prev: 46, now 46, 89
prev: 46, now 46, 90
prev: 46, now 46, 91
prev: 46, now 46, 92
prev: 46, now 46, 93
prev: 46, now 46, 94
prev: 46, now 46, 95
prev: 46, now 47, 96
prev: 47, now 47, 97
prev: 47, now 47, 98
prev: 47, now 47, 99
prev: 47, now 47, 100
prev: 47, now 47, 101
prev: 47, now 47, 102
prev: 47, now 47, 103
prev: 47, now 47, 104
prev: 47, now 47, 105
prev: 47, now 47, 106
prev: 47, now 47, 107
prev: 47, now 48, 108
prev: 48, now 48, 109
prev: 48, now 48, 110
prev: 48, now 48, 111
prev: 48, now 48, 112
prev: 48, now 49, 113
prev: 49, now 49, 114
prev: 49, now 49, 115
prev: 49, now 49, 116
prev: 49, now 49, 117
prev: 49, now 49, 118
prev: 49, now 49, 119
prev: 49, now 49, 120
prev: 49, now 49, 121
prev: 49, now 49, 122
prev: 49, now 49, 123
prev: 49, now 50, 124
prev: 50, now 50, 125
prev: 50, now 50, 126
prev: 50, now 50, 127
prev: 50, now 50, 128
prev: 50, now 50, 129
prev: 50, now 50, 130
prev: 50, now 50, 131
prev: 50, now 50, 132
prev: 50, now 50, 133
prev: 50, now 50, 134
prev: 50, now 51, 135
prev: 51, now 51, 136
prev: 51, now 52, 137
prev: 52, now 52, 138
prev: 52, now 52, 139
prev: 52, now 52, 140
prev: 52, now 53, 141
prev: 53, now 53, 142
prev: 53, now 53, 143
prev: 53, now 53, 144
prev: 53, now 53, 145
prev: 53, now 53, 146
prev: 53, now 53, 147
prev: 53, now 53, 148
prev: 53, now 54, 149
prev: 54, now 54, 150
prev: 54, now 54, 151
prev: 54, now 54, 152
prev: 54, now 54, 153
prev: 54, now 54, 154
prev: 54, now 54, 155
prev: 54, now 54, 156
prev: 54, now 54, 157
prev: 54, now 54, 158
prev: 54, now 54, 159
prev: 54, now 54, 160
prev: 54, now 54, 161
prev: 54, now 54, 162
prev: 54, now 54, 163
prev: 54, now 54, 164
prev: 54, now 55, 165
prev: 55, now 56, 166
prev: 56, now 56, 167
prev: 56, now 56, 168
prev: 56, now 56, 169
prev: 56, now 56, 170
prev: 56, now 57, 171
prev: 57, now 57, 172
prev: 57, now 57, 173
prev: 57, now 57, 174
prev: 57, now 57, 175
prev: 57, now 57, 176
prev: 57, now 57, 177
prev: 57, now 57, 178
prev: 57, now 57, 179
prev: 57, now 57, 180
prev: 57, now 58, 181
prev: 58, now 58, 182
prev: 58, now 59, 183
prev: 59, now 59, 184
prev: 59, now 59, 185
prev: 59, now 59, 186
prev: 59, now 59, 187
prev: 59, now 59, 188
prev: 59, now 59, 189
prev: 59, now 59, 190
prev: 59, now 59, 191
prev: 59, now 59, 192
prev: 59, now 59, 193
prev: 59, now 59, 194
prev: 59, now 59, 195
prev: 59, now 59, 196
prev: 59, now 59, 197
prev: 59, now 59, 198
prev: 59, now 59, 199
prev: 59, now 59, 200
prev: 59, now 59, 201
prev: 59, now 59, 202
prev: 59, now 60, 203
prev: 60, now 60, 204
prev: 60, now 60, 205
prev: 60, now 60, 206
prev: 60, now 60, 207
prev: 60, now 60, 208
prev: 60, now 60, 209
prev: 60, now 61, 210
prev: 61, now 61, 211
prev: 61, now 61, 212
prev: 61, now 61, 213
prev: 61, now 62, 214
prev: 62, now 63, 215
prev: 63, now 63, 216
prev: 63, now 63, 217
prev: 63, now 63, 218
prev: 63, now 63, 219
prev: 63, now 63, 220
prev: 63, now 63, 221
prev: 63, now 63, 222
prev: 63, now 63, 223
prev: 63, now 63, 224
prev: 63, now 64, 225
prev: 64, now 65, 226
prev: 65, now 65, 227
prev: 65, now 65, 228
prev: 65, now 65, 229
prev: 65, now 65, 230
prev: 65, now 65, 231
prev: 65, now 65, 232
prev: 65, now 65, 233
prev: 65, now 65, 234
prev: 65, now 66, 235
prev: 66, now 66, 236
prev: 66, now 67, 237
prev: 67, now 67, 238
prev: 67, now 67, 239
prev: 67, now 68, 240
prev: 68, now 68, 241
prev: 68, now 68, 242
prev: 68, now 68, 243
prev: 68, now 68, 244
prev: 68, now 68, 245
prev: 68, now 68, 246
prev: 68, now 68, 247
prev: 68, now 68, 248
prev: 68, now 68, 249
prev: 68, now 68, 250
prev: 68, now 68, 251
prev: 68, now 68, 252
prev: 68, now 68, 253
prev: 68, now 68, 254
prev: 68, now 68, 255
prev: 68, now 68, 256
prev: 68, now 68, 257
prev: 68, now 68, 258
prev: 68, now 68, 259
prev: 68, now 68, 260
prev: 68, now 68, 261
prev: 68, now 68, 262
prev: 68, now 68, 263
prev: 68, now 68, 264
prev: 68, now 68, 265
prev: 68, now 68, 266
prev: 68, now 68, 267
prev: 68, now 68, 268
prev: 68, now 68, 269
prev: 68, now 68, 270
prev: 68, now 68, 271
prev: 68, now 68, 272
prev: 68, now 68, 273
prev: 68, now 68, 274
prev: 68, now 68, 275
prev: 68, now 68, 276
prev: 68, now 68, 277
prev: 68, now 68, 278
prev: 68, now 68, 279
prev: 68, now 68, 280
prev: 68, now 68, 281
prev: 68, now 69, 282
prev: 69, now 69, 283
prev: 69, now 69, 284
prev: 69, now 69, 285
prev: 69, now 69, 286
prev: 69, now 69, 287
prev: 69, now 69, 288
prev: 69, now 69, 289
prev: 69, now 69, 290
prev: 69, now 69, 291
prev: 69, now 69, 292
prev: 69, now 69, 293
prev: 69, now 69, 294
prev: 69, now 69, 295
prev: 69, now 69, 296
prev: 69, now 69, 297
prev: 69, now 69, 298
prev: 69, now 69, 299
prev: 69, now 69, 300
prev: 69, now 69, 301
prev: 69, now 69, 302
prev: 69, now 70, 303
prev: 70, now 70, 304
prev: 70, now 70, 305
prev: 70, now 70, 306
prev: 70, now 70, 307
prev: 70, now 70, 308
prev: 70, now 70, 309
prev: 70, now 70, 310
prev: 70, now 70, 311
prev: 70, now 70, 312
prev: 70, now 70, 313
prev: 70, now 71, 314
prev: 71, now 71, 315
prev: 71, now 71, 316
prev: 71, now 71, 317
prev: 71, now 71, 318
prev: 71, now 71, 319
prev: 71, now 72, 320
prev: 72, now 72, 321
prev: 72, now 72, 322
prev: 72, now 72, 323
prev: 72, now 72, 324
prev: 72, now 72, 325
prev: 72, now 72, 326
prev: 72, now 73, 327
prev: 73, now 73, 328
prev: 73, now 73, 329
prev: 73, now 73, 330
prev: 73, now 73, 331
prev: 73, now 73, 332
prev: 73, now 73, 333
prev: 73, now 73, 334
prev: 73, now 73, 335
prev: 73, now 73, 336
prev: 73, now 73, 337
prev: 73, now 73, 338
prev: 73, now 73, 339
prev: 73, now 73, 340
prev: 73, now 73, 341
prev: 73, now 73, 342
prev: 73, now 73, 343
prev: 73, now 73, 344
prev: 73, now 73, 345
prev: 73, now 73, 346
prev: 73, now 73, 347
prev: 73, now 73, 348
prev: 73, now 73, 349
prev: 73, now 73, 350
prev: 73, now 73, 351
prev: 73, now 73, 352
prev: 73, now 73, 353
prev: 73, now 73, 354
prev: 73, now 73, 355
prev: 73, now 74, 356
prev: 74, now 74, 357
prev: 74, now 75, 358
prev: 75, now 75, 359
prev: 75, now 75, 360
prev: 75, now 75, 361
prev: 75, now 75, 362
prev: 75, now 75, 363
prev: 75, now 75, 364
prev: 75, now 75, 365
prev: 75, now 76, 366
prev: 76, now 76, 367
prev: 76, now 76, 368
prev: 76, now 76, 369
prev: 76, now 76, 370
prev: 76, now 76, 371
prev: 76, now 76, 372
prev: 76, now 76, 373
prev: 76, now 76, 374
prev: 76, now 76, 375
prev: 76, now 76, 376
prev: 76, now 76, 377
prev: 76, now 76, 378
prev: 76, now 76, 379
prev: 76, now 76, 380
prev: 76, now 76, 381
prev: 76, now 76, 382
prev: 76, now 76, 383
prev: 76, now 76, 384
prev: 76, now 76, 385
prev: 76, now 76, 386
prev: 76, now 76, 387
prev: 76, now 76, 388
prev: 76, now 76, 389
prev: 76, now 77, 390
prev: 77, now 77, 391
prev: 77, now 77, 392
prev: 77, now 77, 393
prev: 77, now 77, 394
prev: 77, now 77, 395
prev: 77, now 77, 396
prev: 77, now 77, 397
prev: 77, now 77, 398
prev: 77, now 77, 399
prev: 77, now 77, 400
prev: 77, now 77, 401
prev: 77, now 77, 402
prev: 77, now 77, 403
prev: 77, now 77, 404
prev: 77, now 77, 405
prev: 77, now 77, 406
prev: 77, now 77, 407
prev: 77, now 77, 408
prev: 77, now 77, 409
prev: 77, now 77, 410
prev: 77, now 77, 411
prev: 77, now 77, 412
prev: 77, now 77, 413
prev: 77, now 77, 414
prev: 77, now 77, 415
prev: 77, now 78, 416
prev: 78, now 78, 417
prev: 78, now 78, 418
prev: 78, now 78, 419
prev: 78, now 78, 420
prev: 78, now 78, 421
prev: 78, now 78, 422
prev: 78, now 78, 423
prev: 78, now 79, 424
prev: 79, now 79, 425
prev: 79, now 79, 426
prev: 79, now 79, 427
prev: 79, now 79, 428
prev: 79, now 79, 429
prev: 79, now 79, 430
prev: 79, now 79, 431
prev: 79, now 79, 432
prev: 79, now 79, 433
prev: 79, now 79, 434
prev: 79, now 79, 435
prev: 79, now 80, 436
prev: 80, now 80, 437
prev: 80, now 80, 438
prev: 80, now 80, 439
prev: 80, now 80, 440
